ts 	 trial # 	 led 	 alpha 	 gamma 	 theta 	 target_pos 	 center_pos 	 pointer_pt
66.2937062937063	1	False	40.99428587885465	91.75934258292504	39.95933249033122	[ 862.38783018 -203.51451323]	[317.60719808 269.61393229]	[314.94089762 180.44995117]
66.35364635364635	1	False	40.969456590996685	91.6985942349925	39.87298023799234	[ 863.04060554 -202.73424987]	[317.68530273 270.47906494]	[315.11551921 181.38256836]
66.41358641358642	1	False	40.93369875493421	91.65864406939913	39.774386594779955	[ 863.78448023 -201.8421738 ]	[317.69482422 271.41156006]	[315.19140625 182.46510824]
66.47352647352648	1	False	None	None	39.671781814778385	[ 864.55698714 -200.91244715]	None	None
66.53346653346652	1	False	40.92916737114584	91.67207601327469	39.66266748550525	[ 864.62552799 -200.82979314]	[317.75893148 273.02156576]	[315.24159749 184.31972249]
66.59340659340658	1	False	40.925256249709086	91.68349502775267	39.60367240826246	[ 865.06885995 -200.2945281 ]	[317.9226888  273.73372396]	[315.38645426 184.9892985 ]
66.65334665334665	1	False	40.86455356793068	91.63424310295956	39.513606814570934	[ 865.7446148  -199.47647916]	[317.81852214 274.21268717]	[315.36165365 185.57861328]
66.7132867132867	1	False	None	None	39.4452853328115	[ 866.25636716 -198.85521997]	None	None
66.77322677322677	1	False	40.80648189278496	91.71245571873462	39.39119458655575	[ 866.66100057 -198.3629308 ]	[317.91758219 275.06231689]	[315.34358724 186.56237793]
66.83316683316683	1	False	None	None	39.30732433347175	[ 867.28748427 -197.59885848]	None	None
66.89310689310689	1	False	40.78592337625116	91.82803832365639	39.27709894159223	[ 867.51298393 -197.32327531]	[318.37821452 276.09619141]	[315.62825521 187.68105062]
66.95304695304695	1	False	40.82928994692049	91.86967166560414	39.26070033077827	[ 867.63526662 -197.1737095 ]	[319.04899089 276.49682617]	[316.24117025 188.28324382]
67.01298701298701	1	False	40.843447379893036	91.74424979518216	39.22354897106938	[ 867.91214195 -196.83473594]	[319.37449137 277.03033447]	[316.76253255 188.90702311]
67.07292707292707	1	False	40.965431728366916	91.7490440507273	39.28932460714356	[ 867.4217906  -197.43475842]	[320.12679036 277.39430745]	[317.50793457 189.28712972]
67.13286713286713	1	False	40.92954940245163	91.69884263428773	39.22979666949503	[ 867.86559554 -196.89175326]	[320.31628418 277.55755615]	[317.77274577 189.384257  ]
67.1928071928072	1	False	40.95306289565301	91.3815570690808	39.21207697158115	[ 867.99759409 -196.73002774]	[320.80426025 277.80393473]	[318.75026449 189.68133545]
67.25274725274726	1	False	41.0066559852248	91.5243398401958	39.24367390786331	[ 867.76218553 -197.01838062]	[321.1692098  277.89099121]	[318.89556885 189.76761882]
67.3126873126873	1	False	None	None	39.225226924753485	[ 867.89964152 -196.85004966]	None	None
67.37262737262736	1	False	None	None	39.27830176671822	[ 867.50401291 -197.33424447]	None	None
67.43256743256742	1	False	None	None	39.32761116999384	[ 867.13605072 -197.78375909]	None	None
67.49250749250749	1	False	None	None	39.338446554615324	[ 867.05514185 -197.88249423]	None	None
67.55244755244755	1	False	None	None	39.424710346280555	[ 866.410336  -198.6680085]	None	None
67.61238761238761	1	False	None	None	39.490696644399165	[ 865.91630273 -199.26822099]	None	None
67.67232767232767	1	False	None	None	39.61444277138753	[ 864.98796473 -200.39228215]	None	None
67.73226773226773	1	False	41.52123788976055	90.04755400728578	39.65661773441384	[ 864.67101558 -200.77492448]	[321.6408488 279.6607666]	[321.63793945 192.0997111 ]
67.79220779220779	1	False	41.56668651172091	89.92646419932424	39.697965318739904	[ 864.36001093 -201.14983364]	[321.63991292 279.77915446]	[321.82185872 192.26822917]
67.85214785214785	1	False	41.69488561118346	89.83706446704444	39.84479439393797	[ 863.25342031 -202.47935481]	[321.50502523 279.75577799]	[321.82303874 192.35732015]
67.91208791208791	1	False	None	None	39.87456824927685	[ 863.02861167 -202.74860773]	None	None
67.97202797202797	1	False	41.735422218305814	89.67501906422572	39.94077962280438	[ 862.52817879 -203.34695586]	[320.78175863 279.57348633]	[321.34757487 192.06072998]
68.03196803196803	1	False	41.76649422667729	89.76007462564824	40.01107073348501	[ 861.99615452 -203.98153902]	[320.28232829 279.43705241]	[320.71740723 192.1021932 ]
68.09190809190808	1	False	None	None	40.04763408861106	[ 861.71910354 -204.31137221]	None	None
68.15184815184814	1	False	None	None	40.043313193631015	[ 861.75185516 -204.2724032 ]	None	None
68.2117882117882	1	False	None	None	40.05992784638293	[ 861.62590296 -204.42223285]	None	None
68.27172827172826	1	False	41.84419989339937	89.87535936495438	40.13170747227694	[ 861.0812575  -205.06911595]	[319.90877279 279.18575033]	[320.16845703 191.7682902 ]
68.33166833166833	1	False	None	None	40.16983566794207	[ 860.79162105 -205.41245235]	None	None
68.39160839160839	1	False	41.887169393944085	89.47949763380069	40.16075938145426	[ 860.86058873 -205.33073977]	[320.50345866 278.92437744]	[321.36690267 191.50048828]
68.45154845154845	1	False	None	None	40.14577421098742	[ 860.97442774 -205.19580642]	None	None
68.51148851148851	1	False	None	None	40.135184277325656	[ 861.05485582 -205.10043184]	None	None
68.57142857142857	1	False	None	None	40.136627674197484	[ 861.04389459 -205.11343217]	None	None
68.63136863136863	1	False	None	None	40.15181741516443	[ 860.92852311 -205.25022579]	None	None
68.69130869130869	1	False	None	None	40.078408548845644	[ 861.48575358 -204.58884747]	None	None
68.75124875124875	1	False	None	None	40.13091692735176	[ 861.08726037 -205.06199522]	None	None
68.81118881118881	1	False	None	None	40.06759531051776	[ 861.56776286 -204.49136513]	None	None
68.87112887112886	1	False	None	None	39.98994334773034	[ 862.15614678 -203.7908711 ]	None	None
68.93106893106892	1	False	41.62148685051129	87.92284070767273	39.908816880185896	[ 862.76984306 -203.05818272]	[320.40218099 278.48490397]	[323.64436849 190.97210693]
68.99100899100898	1	False	41.543140256987705	87.7572968603689	39.836592622581236	[ 863.31532352 -202.40516349]	[320.35758464 278.33640544]	[323.85245768 190.83388265]
69.05094905094904	1	False	41.50985661522621	87.73263731005483	39.8089542424877	[ 863.52384712 -202.15508786]	[320.38246663 278.18678792]	[323.91831462 190.6031901 ]
69.1108891108891	1	False	41.46392718244782	87.70621175977807	39.770766139272396	[ 863.81176681 -201.80939154]	[320.39530436 278.00038656]	[323.97623698 190.3030599 ]
69.17082917082917	1	False	None	None	39.68390718899365	[ 864.4657825  -201.02239015]	None	None
69.23076923076923	1	False	None	None	39.66683273514727	[ 864.59420645 -200.86756739]	None	None
69.29070929070929	1	False	41.21510824097361	88.05246794511608	39.51829437463653	[ 865.70947615 -199.51908159]	[320.49591064 277.68206787]	[323.55159505 189.83455404]
69.35064935064935	1	False	41.19897870474649	88.15845457667825	39.49677333332111	[ 865.87077237 -199.32346603]	[320.52716064 277.72058105]	[323.42036947 189.86912028]
69.41058941058941	1	False	41.12151452042811	88.19780566171319	39.40546676618104	[ 866.55428067 -198.49286146]	[320.59495036 277.78902181]	[323.42940267 189.88751221]
69.47052947052947	1	False	41.10216969385208	88.30921420396349	39.38052101365722	[ 866.74079081 -198.26574367]	[320.59472656 277.85457357]	[323.25764974 189.97052002]
69.53046953046953	1	False	41.066779006605685	88.36507967783194	39.335674430533764	[ 867.07584335 -197.85723529]	[320.50354004 278.04109701]	[323.08007812 190.17962646]
69.59040959040959	1	False	41.06497674850295	88.3891198236255	39.34107286244466	[ 867.03552814 -197.9064236 ]	[320.22277832 278.17104085]	[322.7574056  190.48370361]
69.65034965034964	1	False	41.04379344403357	88.15617364778058	39.323479576804914	[ 867.1668968 -197.7461068]	[319.9822998  278.29974365]	[322.87379964 190.60624186]
69.7102897102897	1	False	41.00874205413384	88.15974310583213	39.288939494112675	[ 867.42466359 -197.43124696]	[319.87363688 278.34549967]	[322.75874837 190.68001302]
69.77022977022976	1	False	40.94366011707451	88.09857571605758	39.22220279790729	[ 867.92217035 -196.82244992]	[319.83219401 278.331604  ]	[322.80997721 190.69480387]
69.83016983016982	1	False	None	None	39.26146965776321	[ 867.62953078 -197.18072704]	None	None
69.89010989010988	1	False	40.91763481768494	87.14877431117597	39.2133700686365	[ 867.98796318 -196.74183106]	[319.4524943  278.36240641]	[323.87742106 190.87424723]
69.95004995004994	1	False	40.9661833768134	86.31982641596623	39.289438028526206	[ 867.42094446 -197.43579259]	[319.14440918 278.25744629]	[324.84450277 190.68035889]
70.00999000999	1	False	40.96804942943021	85.47790903338898	39.3085590125687	[ 867.27826973 -197.61011326]	[318.65492757 278.41532389]	[325.64558919 190.86873372]
70.06993006993007	1	False	41.00200643089505	84.42238861015936	39.37709866183524	[ 866.76637075 -198.23457865]	[318.02724202 278.46138509]	[326.61012777 191.24625651]
70.12987012987013	1	False	None	None	39.39658527475908	[ 866.62069562 -198.41200952]	None	None
70.18981018981019	1	False	40.95938054541712	81.57203830520179	39.38930489618517	[ 866.67512826 -198.3457255 ]	[317.0569458  278.39723714]	[329.96323649 191.72172038]
70.24975024975025	1	False	41.030934788610175	80.21151419466041	39.50169700757076	[ 865.83387683 -199.36822513]	[316.44008382 278.38313802]	[331.37424723 192.18503825]
70.30969030969031	1	False	41.04798455773354	78.71566333131311	39.54476812183657	[ 865.51095954 -199.75963166]	[315.92226156 278.44836426]	[333.07873535 192.77726237]
70.36963036963037	1	False	41.07068453604123	77.0776527481111	39.59213440152488	[ 865.15550048 -200.18978988]	[315.5004069  278.45855713]	[335.14383952 193.11136882]
70.42957042957042	1	False	None	None	39.67894100870046	[ 864.50313993 -200.97736322]	None	None
70.48951048951048	1	False	41.2138844943211	74.35604215978843	39.79768327147754	[ 863.60884872 -202.05307779]	[314.65053304 278.40498861]	[338.27740479 194.24627686]
70.54945054945054	1	False	None	None	40.443712179937016	[ 858.70444443 -207.87297676]	None	None
70.6093906093906	1	False	41.71476274846011	71.72614450098739	40.370907370797724	[ 859.26042758 -207.2198676 ]	[314.06874593 278.41923014]	[341.51660156 195.47420247]
70.66933066933066	1	False	41.74423176846711	70.49166449532406	40.40621514749821	[ 858.99089891 -207.53669085]	[313.93123372 278.48756917]	[343.15645345 196.15940348]
70.72927072927072	1	False	41.37501117509285	69.37495248449724	40.02735749789989	[ 861.87277105 -204.12848161]	[313.68835449 278.38006592]	[344.52319336 196.60636393]
70.78921078921078	1	False	41.36388868971189	68.28804040715274	40.01506662756116	[ 861.96588673 -204.01759406]	[313.63930257 278.42730713]	[346.02445475 197.23919678]
